Date,AAPL,MSFT,NVDA,TSLA
2018-01-02,40.722869873046875,80.22900390625,49.3171272277832,21.368667602539062
2018-01-03,40.715789794921875,80.60238647460938,52.56287384033203,21.149999618530273
2018-01-04,40.9049072265625,81.31179809570312,52.8399543762207,20.974666595458984
2018-01-05,41.370628356933594,82.31991577148438,53.2877311706543,21.10533332824707
2018-01-08,41.21696090698242,82.40393829345703,54.920501708984375,22.42733383178711
2018-01-09,41.21223068237305,82.347900390625,54.9056510925293,22.246000289916992
2018-01-10,41.2027702331543,81.97453308105469,55.33610916137695,22.31999969482422
2018-01-11,41.43680953979492,82.21723175048828,55.43507385253906,22.530000686645508
2018-01-12,41.86470031738281,83.63605499267578,55.16294479370117,22.4146671295166
2018-01-16,41.65194320678711,82.4692611694336,54.452938079833984,22.67066764831543
2018-01-17,42.33987808227539,84.14012908935547,55.59339904785156,23.143999099731445
2018-01-18,42.37770080566406,84.10277557373047,55.52412796020508,22.971332550048828
2018-01-19,42.18857955932617,84.0094223022461,56.92683410644531,23.334667205810547
2018-01-22,41.84342956542969,85.51225280761719,57.812496185302734,23.437332153320312
2018-01-23,41.852874755859375,85.7829818725586,59.10386276245117,23.519332885742188
2018-01-24,41.18622589111328,85.7082748413086,58.33448791503906,23.05933380126953
2018-01-25,40.451011657714844,86.18433380126953,58.47053909301758,22.50933265686035
2018-01-26,40.54557418823242,87.79920959472656,60.19731521606445,22.856666564941406
2018-01-29,39.70634078979492,87.66851806640625,61.06813049316406,23.302000045776367
2018-01-30,39.4723014831543,86.56704711914062,60.046417236328125,23.05466651916504
2018-01-31,39.581050872802734,88.68595886230469,60.80837631225586,23.62066650390625
2018-02-01,39.663787841796875,87.98589324951172,59.49720764160156,23.28333282470703
2018-02-02,37.942771911621094,85.67096710205078,57.77042770385742,22.916667938232422
2018-02-05,36.994789123535156,82.14257049560547,52.86716842651367,22.208667755126953
2018-02-06,38.540863037109375,85.25090026855469,55.806156158447266,22.264667510986328
2018-02-07,37.7158203125,83.6453857421875,56.60275650024414,23.0
2018-02-08,36.678001403808594,79.35157012939453,53.81220245361328,21.01533317565918
2018-02-09,37.12663269042969,82.31057739257812,57.414180755615234,20.69466781616211
2018-02-12,38.62205123901367,83.19734954833984,56.412261962890625,21.048667907714844
2018-02-13,39.00895309448242,83.85075378417969,57.55024719238281,21.577333450317383
2018-02-14,39.728179931640625,85.16368865966797,59.72480010986328,21.487333297729492
2018-02-15,41.06218719482422,86.89866638183594,60.9815559387207,22.271333694458008
2018-02-16,40.92926025390625,86.27973937988281,60.323486328125,22.365999221801758
2018-02-20,40.791587829589844,86.95494079589844,61.619815826416016,22.31800079345703
2018-02-21,40.60643768310547,85.80142211914062,59.747074127197266,22.219999313354492
2018-02-22,40.94587326049805,86.0265121459961,59.94263458251953,23.077999114990234
2018-02-23,41.65797805786133,88.2116470336914,60.87834548950195,23.469999313354492
2018-02-26,42.48163604736328,89.48706817626953,61.03925323486328,23.827999114990234
2018-02-27,42.343971252441406,88.34290313720703,60.9105224609375,23.39933204650879
2018-02-28,42.27987289428711,87.93965911865234,59.905494689941406,22.87066650390625
2018-03-01,41.53929901123047,87.07686614990234,57.4820442199707,22.062000274658203
2018-03-02,41.82651901245117,87.26443481445312,58.55390167236328,22.341333389282227
2018-03-05,41.97130584716797,87.8177490234375,58.33359909057617,22.22333335876465
2018-03-06,41.935691833496094,87.51762390136719,59.945106506347656,21.8799991607666
2018-03-07,41.54642105102539,88.02406311035156,59.86589431762695,22.15333366394043
2018-03-08,41.99979019165039,88.55863189697266,59.7025032043457,21.940000534057617
2018-03-09,42.72138214111328,90.53742980957031,60.72981262207031,21.81133270263672
2018-03-12,43.134395599365234,90.75311279296875,61.826438903808594,23.034000396728516
2018-03-13,42.71900177001953,88.53985595703125,61.318973541259766,22.78933334350586
2018-03-14,42.3558349609375,88.01469421386719,61.573951721191406,21.775333404541016
2018-03-15,42.40568923950195,88.32416534423828,61.72247314453125,21.706666946411133
2018-03-16,42.25614929199219,88.71806335449219,62.004676818847656,21.42333221435547
2018-03-19,41.61050796508789,87.11437225341797,59.657958984375,20.90399932861328
2018-03-20,41.59626007080078,87.3394546508789,61.7818717956543,20.703332901000977
2018-03-21,40.65390396118164,86.72988891601562,61.52938461303711,21.101999282836914
2018-03-22,40.07948684692383,84.20712280273438,59.868370056152344,20.606666564941406
2018-03-23,39.15137481689453,81.7593994140625,57.670188903808594,20.1026668548584
2018-03-26,41.009971618652344,87.94902801513672,60.519412994384766,20.278667449951172
2018-03-27,39.95842742919922,83.9070053100586,55.825984954833984,18.61199951171875
2018-03-28,39.51692199707031,83.83197784423828,54.79373550415039,17.185333251953125
2018-03-29,39.82550048828125,85.5951156616211,57.328575134277344,17.742000579833984
2018-04-02,39.56440353393555,83.0160903930664,54.71946334838867,16.832000732421875
2018-04-03,39.97030258178711,84.13209533691406,55.783905029296875,17.8353328704834
2018-04-04,40.734619140625,86.58917236328125,56.00421905517578,19.12933349609375
2018-04-05,41.01708984375,86.63607788085938,54.8011589050293,20.381332397460938
2018-04-06,39.96792984008789,84.61978149414062,53.03617477416992,19.953332901000977
2018-04-09,40.36431884765625,85.12619018554688,53.32332229614258,19.310667037963867
2018-04-10,41.123897552490234,87.10498046875,56.41762161254883,20.31333351135254
2018-04-11,40.93163299560547,86.14842224121094,56.00421905517578,20.062000274658203
2018-04-12,41.33515167236328,87.76145935058594,58.07368087768555,19.60533332824707
2018-04-13,41.47520446777344,87.29255676269531,57.306297302246094,20.022666931152344
